Veces,s-S,M-CostoTotal,M-CostoPedido,M-CostoMantenimiento,M-CostoDeficit
1,0-40,125.978,93.408,6.892,25.678
5,0-40,123.987,91.605,7.677,24.704
10,0-40,125.546,92.043,7.320,26.184
50,0-40,126.070,92.951,7.375,25.744
100,0-40,125.493,92.587,7.441,25.465
500,0-40,125.954,92.815,7.391,25.749
1,0-60,118.804,85.383,15.048,18.372
5,0-60,121.223,87.483,15.217,18.522
10,0-60,120.603,88.213,15.614,16.777
50,0-60,120.373,87.228,15.526,17.619
100,0-60,120.687,87.745,15.500,17.442
500,0-60,120.005,87.053,15.537,17.414
1,0-80,116.754,80.683,25.245,10.826
5,0-80,122.413,83.838,24.102,14.473
10,0-80,120.529,83.026,24.805,12.698
50,0-80,121.697,83.901,24.502,13.294
100,0-80,121.888,84.133,24.558,13.197
500,0-80,121.778,84.114,24.484,13.180
1,0-100,122.057,78.842,33.945,9.270
5,0-100,127.463,83.857,32.433,11.173
10,0-100,125.633,81.382,33.851,10.400
50,0-100,127.015,82.436,33.995,10.585
100,0-100,126.808,82.394,33.735,10.679
500,0-100,126.867,82.378,33.866,10.623
1,20-40,125.948,105.425,11.554,8.969
5,20-40,125.245,106.713,11.663,6.869
10,20-40,124.012,105.570,11.641,6.801
50,20-40,124.354,105.662,11.532,7.160
100,20-40,124.806,106.049,11.588,7.170
500,20-40,124.720,106.005,11.571,7.144
1,20-60,111.682,86.725,23.437,1.520
5,20-60,116.857,93.080,22.265,1.512
10,20-60,117.532,93.123,22.469,1.940
50,20-60,116.952,92.629,22.423,1.900
100,20-60,117.962,93.657,22.275,2.030
500,20-60,117.418,93.104,22.354,1.960
1,20-80,120.851,87.150,32.928,0.773
5,20-80,122.303,89.778,30.696,1.829
10,20-80,121.480,87.822,32.328,1.329
50,20-80,121.403,88.174,31.868,1.361
100,20-80,121.083,87.796,32.014,1.274
500,20-80,121.222,87.827,32.037,1.358
1,20-100,127.588,83.475,43.342,0.771
5,20-100,128.843,85.692,42.112,1.039
10,20-100,127.366,84.556,41.913,0.897
50,20-100,127.622,84.732,41.857,1.033
100,20-100,127.561,84.548,41.998,1.014
500,20-100,127.770,84.965,41.781,1.024
1,40-60,138.039,108.517,29.184,0.338
5,40-60,136.644,106.738,29.634,0.272
10,40-60,136.064,105.949,29.958,0.157
50,40-60,136.467,106.376,29.826,0.265
100,40-60,136.958,106.778,29.937,0.242
500,40-60,136.976,106.765,29.944,0.267
1,40-80,136.959,95.967,40.910,0.083
5,40-80,135.447,93.920,41.509,0.018
10,40-80,136.499,95.117,41.351,0.030
50,40-80,135.733,94.012,41.689,0.031
100,40-80,135.820,94.073,41.726,0.021
500,40-80,135.722,94.006,41.695,0.021
1,40-100,141.066,88.592,52.472,0.002
5,40-100,138.701,86.418,52.256,0.027
10,40-100,141.183,90.069,51.105,0.009
50,40-100,140.020,88.621,51.378,0.021
100,40-100,139.703,87.969,51.715,0.018
500,40-100,139.869,88.219,51.635,0.015
1,60-80,158.956,110.050,48.906,0.000
5,60-80,158.500,109.048,49.452,0.000
10,60-80,156.496,106.457,50.025,0.015
50,60-80,156.763,106.958,49.803,0.002
100,60-80,157.205,107.401,49.801,0.003
500,60-80,157.258,107.599,49.653,0.005
1,60-100,157.683,95.967,61.716,0.000
5,60-100,157.173,95.133,62.040,0.000
10,60-100,155.805,94.177,61.627,0.000
50,60-100,155.857,94.268,61.589,0.000
100,60-100,156.157,94.435,61.722,0.000
500,60-100,156.367,94.748,61.620,0.000
