x;y;veces;Best_s;Ganancia_esperada;tiempo
10;1;100;85;590.700000;0.001600
10;1;1000;96;573.800000;0.015891
10;1;5000;97;567.134000;0.079397
10;1;10000;94;566.568000;0.157738
10;1;100000;93;564.064400;1.566322
10;5;100;74;275.800000;0.001523
10;5;1000;71;248.740000;0.015133
10;5;5000;69;236.150000;0.078578
10;5;10000;70;233.457000;0.154835
10;5;100000;70;232.022300;1.566630
10;8;100;59;79.400000;0.001511
10;8;1000;44;61.970000;0.015133
10;8;5000;46;59.062000;0.076884
10;8;10000;43;58.036000;0.154246
10;8;100000;46;58.102200;1.541667
15;10;100;54;213.000000;0.001563
15;10;1000;55;195.515000;0.015857
15;10;5000;60;191.262000;0.077931
15;10;10000;58;189.306500;0.154304
15;10;100000;58;189.472250;1.533207
