x;y;veces;Best_s;Ganancia_esperada;tiempo
10;1;100;69;441.200000;0.001238
10;1;1000;78;421.850000;0.012166
10;1;5000;78;416.576000;0.061793
10;1;10000;74;417.297000;0.123098
10;1;100000;78;415.443100;1.222110
10;5;100;52;192.500000;0.001265
10;5;1000;53;169.810000;0.012635
10;5;5000;50;169.358000;0.066643
10;5;10000;52;168.650000;0.132698
10;5;100000;48;166.742900;1.261132
10;8;100;41;47.900000;0.001276
10;8;1000;37;43.730000;0.012694
10;8;5000;30;42.630000;0.062987
10;8;10000;33;42.908000;0.125408
10;8;100000;33;42.368300;1.226529
15;10;100;44;155.200000;0.001270
15;10;1000;38;137.320000;0.012593
15;10;5000;38;137.305000;0.063753
15;10;10000;41;137.159500;0.125660
15;10;100000;41;136.963300;1.233677
